id;key;value;type
15065662;CEP;06455000;
15065700;Rodovia;Secondário;
15065700;Sentido único;Sim;
15065906;Rodovia;Secondário;
15065906;Nome;Alameda Araguaia;
15065906;Sentido único;Sim;
15065906;CEP;06455000;
15065984;Rodovia;Secondário;
15065984;Phelper.istas;2;
15065984;Nome;Alameda Araguaia;
15065984;Sentido único;Sim;
15065984;CEP;06455000;
15065984;Superfície;Asfalto;
15066080;Rodovia;Secondário;
15066080;Phelper.istas;2;
15066080;Nome;Alameda Purus;
15066080;Sentido único;Sim;
15066080;Superfície;Asfalto;
15066323;Rodovia;Secondário;
15066323;Sentido único;Sim;
15068425;Rodovia;service;
15068425;Sentido único;Sim;
15068531;Rodovia;service;
15068531;Sentido único;Sim;
15068578;Rodovia;service;
15068578;service;Parque;
15068578;Superfície;Asfalto;
15720902;Rodovia;Terciário;
15720902;Phelper.istas;2;
15720902;Nome;Avenida Ernesto Ingel;
15720902;Sentido único;Sim;
15720902;Superfície;Asfalto;
15722866;Possui passagem de pedestres;Sim;
15722866;Rodovia;Tronco;
15722866;Phelper.istas;3;
15722866;Velocidade Máxima;50;
15722866;Nome;Avenida Doutor Gastão Vidigal;
15722866;Sentido único;Sim;
15722866;Superfície;Asfalto;
15723127;Possui passagem de pedestres;Sim;
15723127;Rodovia;Tronco;
15723127;Nome;Avenida Doutor Gastão Vidigal;
15723127;Sentido único;Sim;
15723127;Superfície;Asfalto;
15723822;Rodovia;Secondário;
15723822;Sentido único;Sim;
15723822;Superfície;Asfalto;
15723908;Rodovia;Secondário;
15723908;Nome;Rua Capitão-mor Rodrigues de Almeida;
15723908;Sentido único;Sim;
15723908;Superfície;Asfalto;
15723957;Rodovia;Secondário;
15723957;Nome;Avenida dos Remédios;
15723957;Sentido único;Sim;
15723957;Superfície;Asfalto;
15723995;Rodovia;Secondário;
15723995;Nome;Avenida dos Remédios;
15723995;Sentido único;Sim;
15723995;Superfície;Asfalto;
15724009;Rodovia;Terciário;
15724009;Phelper.istas;2;
15724009;Nome;Rua Catadupas;
15724009;Sentido único;Sim;
15724009;Superfície;Asfalto;
15724037;Rodovia;Secondário;
15724037;Phelper.istas;2;
15724037;Nome;Avenida dos Remédios;
15724037;Superfície;Asfalto;
15724149;Rodovia;Residencial;
15724149;Nome;Avenida Doutor Câmara leal;
15966623;Bicicleta;Sim;
15966623;Ponte;Sim;
15966623;Rodovia;Secondário;
15966623;Camadas;1;
15966623;Nome;Ponte dos Remédios;
15966623;Nome;Ponte dos Remédios - Carmen Fernandes Neves;
15966623;Sentido único;Sim;
15966623;Nome;Ponte dos Remédios - Carmen F. Neves;
15966623;wikipedia;pt:Ponte dos Remédios;
15966683;Rodovia;Secondário;
15966683;Nome;Avenida dos Remédios;
15966683;Sentido único;Sim;
15966683;Superfície;Asfalto;
16258255;Rodovia;Tronco;
16258255;Velocidade Máxima;50;
16258255;Nome;Avenida Queiroz Filho;
16258255;Sentido único;Sim;
16258255;Superfície;Asfalto;
16946556;Rodovia;Terciário;
16946556;Phelper.istas;2;
16946556;Nome;Avenida Ernesto Igel;
16946556;Sentido único;Sim;
16946556;Superfície;Asfalto;
17557126;Destino;Avenida das Nações Unidas;
17557126;Rodovia;Tronco de ligação;
17557126;Phelper.istas;2;
17557126;Sentido único;Sim;
17557190;Destino;"Lapa;Parque Villa Lobos";
17557190;Rodovia;Tronco de ligação;
17557190;Nome;Rua Desembargador José Gonçalves Santana;
17557190;Sentido único;Sim;
17557190;Superfície;Asfalto;
17557234;Destino;"Avenida Mofarrej;Parque Villa Lobos";
17557234;Rodovia;Tronco de ligação;
17557234;Nome;Rua Rinaldo Rivetti;
17557234;Sentido único;Sim;
17760678;Rodovia;Terciário;
17760678;Nome;Rua José Ferreira Sobrinho;
17760678;Superfície;Asfalto;
17760693;Rodovia;Terciário;
17760699;Rodovia;Terciário;
17760707;Rodovia;Terciário;
17760727;Rodovia;Terciário;
17760727;Nome;Rua João Ferreira Camargo;
17760727;Superfície;Asfalto;
17760756;Rodovia;service;
17760756;service;Parque;
17760756;source;Bing;
17760770;Rodovia;Secondário;
17760770;Sentido único;Sim;
17760774;Rodovia;Secondário;
17760774;Phelper.istas;2;
17760774;Nome;Alameda Amazonas;
17760774;Sentido único;Sim;
17760774;Superfície;Asfalto;
17760781;Rodovia;Autoestrada;
17760781;Sentido único;Sim;
17760781;Superfície;Asfalto;
17761105;Rodovia;Terciário;
17761105;Nome;AlamedaJurua;
17761105;Sentido único;Sim;
17761223;Rodovia;Secondário;
17761223;Phelper.istas;2;
17761223;Nome;Alameda Tocantins;
17761223;Sentido único;Sim;
17761223;Superfície;Asfalto;
17761358;Rodovia;Residencial;
17761358;Nome;Alameda Rio Pardo;
17761389;Rodovia;Não classificado;
17761389;Phelper.istas;2;
17761389;Velocidade Máxima;40;
17761389;Nome;Al. Rio Novo;
17761389;Sentido único;Sim;
17761389;Superfície;Asfalto;
17761409;Rodovia;Não classificado;
17761409;Nome;Alameda Rio Verde;
17761409;Sentido único;Sim;
17761409;Superfície;Asfalto;
17761467;Rodovia;Terciário;
17761467;Nome;Alameda Jurua;
17761467;Sentido único;Sim;
17761525;Rodovia;Secondário;
17761525;Nome;Alameda Araguaia;
17761525;Sentido único;Sim;
17761525;Superfície;Asfalto;
17761744;Rodovia;Terciário;
17761744;Nome;Al. Madeira;
17761744;Sentido único;Sim;
17761824;Rodovia;Terciário;
17761824;Nome;Al. Madeira;
17761824;Sentido único;Sim;
17762542;Rodovia;Terciário;
17762542;Phelper.istas;2;
17762542;Nome;Rua Reverendo João Euclídes Pereira;
17762542;Sentido único;Sim;
17762542;Superfície;Asfalto;
17762684;Rodovia;Terciário;
17762684;junction;roundabout;
17762811;Rodovia;Terciário;
17762811;Sentido único;Sim;
18618354;Possui passagem de pedestres;Sim;
18618354;Rodovia;Tronco de ligação;
18618354;Sentido único;Sim;
18618354;Superfície;Asfalto;
18618511;Rodovia;Tronco de ligação;
18618511;Sentido único;Sim;
18618511;Superfície;Asfalto;
18618546;Rodovia;Tronco de ligação;
18618546;Sentido único;Sim;
18618546;Superfície;Asfalto;
23267897;Bicicleta;Área designada a bicicletas;
23267897;Ciclo a esquerda;lane;
23267897;Rodovia;Secondário;
23267897;Nome;Avenida Torres de Oliveira;
23267897;Sentido único;Sim;
23267919;Rodovia;Residencial;
23267919;Nome;Rua Belini;
23267919;Superfície;Asfalto;
23267951;Rodovia;service;
23267951;Sentido único;Sim;
23268019;building;Sim;
23268019;source;pmsp;
23268044;Lazer;Parque;
23268044;Nome;Parque Villa-Lobos;
23268061;Rodovia;Tronco;
23268061;Phelper.istas;3;
23268061;Velocidade Máxima;50;
23268061;Nome;Avenida Escola Politécnica;
23268061;Sentido único;Sim;
23268078;Rodovia;Tronco de ligação;
23268078;Sentido único;Sim;
23268084;Destino;Não;
23268084;Rodovia;Tronco de ligação;
23268084;Velocidade Máxima;50;
23268084;Sentido único;Sim;
24063300;Rodovia;Terciário;
24063300;Sentido único;Sim;
24063305;Rodovia;Terciário;
24063305;Sentido único;Sim;
24654408;Rodovia;Tronco;
24654408;Phelper.istas;3;
24654408;Nome;Avenida Desembargador Eduardo Cunha de Abreu;
24654408;Sentido único;Sim;
24654408;Superfície;Asfalto;
24654491;Rodovia;primary;
24654491;Phelper.istas;3;
24654491;Nome;Não;
24654491;Sentido único;Sim;
24654491;Superfície;Asfalto;
26639339;Rodovia;Residencial;
26639339;Nome;Rua Frederico Wolf;
26639339;Sentido único;Sim;
26639343;Ciclo a direita;lane;
26639343;Rodovia;Residencial;
26639343;Nome;Rua Mergentalher;
26639343;Superfície;Asfalto;
26659039;Rodovia;Residencial;
26659039;Nome;Rua Columbus;
26659039;Sentido único;Não;
26659039;Superfície;Asfalto;
26659060;Rodovia;Secondário;
26659060;Nome;Avenida Imperatriz Leopoldina;
26659060;Sentido único;Não;
26659060;Superfície;Asfalto;
26659065;Rodovia;Residencial;
